FIPS,HHS_SAIPE_Poverty_Rate
01001,0.121
01003,0.101
01005,0.271
01007,0.203
01009,0.163
01011,0.3
01013,0.216
01015,0.172
01017,0.196
01019,0.159
01021,0.16
01023,0.226
01025,0.184
01027,0.166
01029,0.133
01031,0.15
01033,0.146
01075,0.153
01077,0.157
01079,0.177
01035,0.222
01037,0.171
01039,0.172
01041,0.168
01043,0.122
01045,0.181
01047,0.26
01049,0.182
01051,0.114
01053,0.205
01055,0.188
01057,0.17
01059,0.161
01061,0.161
01063,0.317
01065,0.205
01067,0.172
01069,0.194
01071,0.147
01073,0.162
01081,0.155
01083,0.12
01085,0.266
01087,0.293
01089,0.115
01091,0.248
01093,0.169
01095,0.157
01097,0.177
01099,0.233
01101,0.158
01103,0.137
01105,0.339
01107,0.243
01109,0.218
01111,0.175
01113,0.189
01115,0.112
01117,0.062
01119,0.364
01121,0.174
01123,0.16
01125,0.162
01127,0.173
01129,0.186
01131,0.325
01133,0.167
02013,0.148
02020,0.095
02060,0.098
02068,0.066
02090,0.072
02100,0.098
02110,0.063
02122,0.104
02130,0.094
02150,0.071
02164,0.174
02170,0.096
02185,0.114
02188,0.24
02195,0.067
02220,0.081
02230,0.04
02275,0.097
02282,0.147
04001,0.334
04003,0.166
04005,0.159
04007,0.211
04009,0.201
04011,0.093
04012,0.221
04013,0.122
04015,0.16
04017,0.252
04019,0.14
04021,0.121
04023,0.188
04025,0.12
04027,0.204
05001,0.158
05003,0.185
05005,0.127
05007,0.089
05009,0.151
05011,0.229
05013,0.154
05015,0.147
05017,0.31
05019,0.206
05021,0.187
05023,0.141
05025,0.137
05027,0.212
05029,0.156
05031,0.169
05033,0.183
05035,0.224
05037,0.178
05039,0.188
05041,0.254
05043,0.185
05045,0.144
05047,0.162
05049,0.177
05051,0.169
05053,0.121
05055,0.155
05057,0.185
05059,0.202
05061,0.168
05063,0.159
05065,0.159
05067,0.229
05069,0.244
05071,0.175
05073,0.255
05075,0.184
05077,0.354
05079,0.271
05081,0.178
05083,0.174
05085,0.107
05087,0.164
05089,0.163
05091,0.141
05093,0.23
05095,0.255
05097,0.199
05099,0.241
05101,0.181
05103,0.173
05105,0.165
05107,0.333
05109,0.169
05111,0.231
05113,0.202
05115,0.169
05117,0.15
05119,0.146
05121,0.173
05123,0.32
05125,0.096
05127,0.196
05129,0.224
05131,0.159
05133,0.177
05135,0.233
05137,0.193
05139,0.189
05141,0.199
05143,0.151
05145,0.154
05147,0.271
05149,0.156
06001,0.089
06003,0.172
06005,0.098
06007,0.161
06009,0.121
06011,0.12
06013,0.079
06015,0.179
06017,0.087
06019,0.205
06021,0.121
06023,0.191
06025,0.22
06027,0.117
06029,0.19
06031,0.16
06033,0.183
06035,0.165
06037,0.134
06039,0.176
06041,0.069
06043,0.151
06045,0.14
06047,0.17
06049,0.205
06051,0.101
06053,0.126
06055,0.074
06057,0.094
06059,0.095
06061,0.066
06063,0.132
06065,0.113
06067,0.126
06069,0.104
06071,0.133
06073,0.103
06075,0.095
06077,0.136
06079,0.116
06081,0.061
06083,0.12
06085,0.061
06087,0.106
06089,0.133
06091,0.127
06093,0.174
06095,0.09
06097,0.072
06099,0.13
06101,0.128
06103,0.163
06105,0.165
06107,0.189
06109,0.113
06111,0.082
06113,0.169
06115,0.152
08001,0.093
08003,0.196
08005,0.072
08007,0.108
08009,0.193
08011,0.344
08013,0.107
08014,0.041
08015,0.11
08017,0.137
08019,0.074
08021,0.199
08023,0.246
08025,0.4
08027,0.118
08029,0.151
08031,0.121
08033,0.128
08035,0.027
08037,0.079
08039,0.057
08041,0.088
08043,0.161
08045,0.096
08047,0.068
08049,0.081
08051,0.116
08053,0.089
08055,0.2
08057,0.126
08059,0.072
08061,0.135
08063,0.132
08065,0.114
08067,0.113
08069,0.103
08071,0.176
08073,0.17
08075,0.129
08077,0.112
08079,0.094
08081,0.122
08083,0.149
08085,0.132
08087,0.119
08089,0.242
08091,0.069
08093,0.086
08095,0.104
08097,0.062
08099,0.182
08101,0.178
08103,0.103
08105,0.144
08107,0.072
08109,0.254
08111,0.137
08113,0.099
08115,0.146
08117,0.064
08119,0.079
08121,0.118
08123,0.084
08125,0.128
10001,0.127
10003,0.104
10005,0.121
11001,0.141
12001,0.184
12003,0.149
12005,0.121
12007,0.21
12009,0.094
12011,0.123
12013,0.203
12015,0.114
12017,0.152
12019,0.083
12021,0.094
12023,0.156
12027,0.218
12029,0.222
12031,0.135
12033,0.155
12035,0.097
12037,0.192
12039,0.197
12041,0.15
12043,0.193
12045,0.14
12047,0.325
12049,0.221
12051,0.195
12053,0.124
12055,0.158
12057,0.135
12059,0.201
12061,0.115
12063,0.194
12065,0.176
12067,0.18
12069,0.109
12071,0.112
12073,0.208
12075,0.182
12077,0.23
12079,0.227
12081,0.113
12083,0.149
12085,0.089
12086,0.157
12087,0.099
12089,0.09
12091,0.106
12093,0.184
12095,0.126
