FIPS,TRN_BC_Number_of_Internet_Providers
01001,9.0
01003,13.0
01005,9.0
01007,6.0
01009,11.0
01011,5.0
01013,9.0
01015,10.0
01017,9.0
01019,10.0
01021,8.0
01023,8.0
01025,9.0
01027,6.0
01029,6.0
01031,9.0
01033,9.0
01035,8.0
01037,10.0
01039,10.0
01041,9.0
01043,11.0
01045,7.0
01047,8.0
01049,8.0
01051,13.0
01053,9.0
01055,10.0
01057,7.0
01059,8.0
01061,9.0
01063,6.0
01065,8.0
01067,8.0
01069,11.0
01071,8.0
01073,15.0
01075,7.0
01077,11.0
01079,7.0
01081,11.0
01083,10.0
01085,8.0
01087,8.0
01089,13.0
01091,9.0
01093,7.0
01095,13.0
01097,11.0
01099,6.0
01101,11.0
01103,12.0
01105,4.0
01107,9.0
01109,9.0
01111,7.0
01113,7.0
01115,12.0
01117,13.0
01119,6.0
01121,10.0
01123,10.0
01125,12.0
01127,9.0
01129,6.0
01131,8.0
01133,9.0
02013,2.0
02020,6.0
02060,2.0
02068,3.0
02090,5.0
02100,2.0
02110,4.0
02122,8.0
02130,3.0
02150,4.0
02164,4.0
02170,5.0
02185,3.0
02188,3.0
02195,4.0
02220,3.0
02230,2.0
02275,3.0
02282,1.0
04001,7.0
04003,11.0
04005,14.0
04007,10.0
04009,7.0
04011,6.0
04012,8.0
04013,31.0
04015,13.0
04017,10.0
04019,19.0
04021,21.0
04023,8.0
04025,19.0
04027,11.0
05001,5.0
05003,7.0
05005,7.0
05007,10.0
05009,9.0
05011,6.0
05013,4.0
05015,11.0
05017,7.0
05019,9.0
05021,9.0
05023,13.0
05025,7.0
05027,7.0
05029,10.0
05031,10.0
05033,10.0
05035,8.0
05037,10.0
05039,4.0
05041,6.0
05043,8.0
05045,14.0
05047,7.0
05049,9.0
05051,9.0
05053,10.0
05055,12.0
05057,9.0
05059,10.0
05061,9.0
05063,11.0
05065,7.0
05067,10.0
05069,10.0
05071,5.0
05073,6.0
05075,10.0
05077,8.0
05079,7.0
05081,7.0
05083,6.0
05085,11.0
05087,8.0
05089,8.0
05091,8.0
05093,8.0
05095,7.0
05097,7.0
05099,6.0
05101,8.0
05103,8.0
05105,8.0
05107,8.0
05109,7.0
05111,8.0
05113,10.0
05115,8.0
05117,5.0
05119,13.0
05121,7.0
05123,8.0
05125,10.0
05127,8.0
05129,8.0
05131,10.0
05133,6.0
05135,8.0
05137,8.0
05139,8.0
05141,10.0
05143,10.0
05145,14.0
05147,5.0
05149,8.0
06001,14.0
06003,6.0
06005,7.0
06007,8.0
06009,9.0
06011,8.0
06013,13.0
06015,5.0
06017,14.0
06019,11.0
06021,9.0
06023,8.0
06025,9.0
06027,6.0
06029,13.0
06031,5.0
06033,6.0
06035,9.0
06037,31.0
06039,12.0
06041,13.0
06043,7.0
06045,8.0
06047,10.0
06049,9.0
06051,5.0
06053,17.0
06055,7.0
06057,8.0
06059,18.0
06061,17.0
06063,7.0
06065,23.0
06067,23.0
06069,8.0
06071,20.0
06073,23.0
06075,14.0
06077,16.0
06079,11.0
06081,20.0
06083,10.0
06085,23.0
06087,16.0
06089,13.0
06091,5.0
06093,10.0
06095,14.0
06097,11.0
06099,11.0
06101,8.0
06103,12.0
06105,8.0
06107,11.0
06109,7.0
06111,11.0
06113,14.0
06115,7.0
08001,20.0
08003,11.0
08005,19.0
08007,7.0
08009,7.0
08011,5.0
08013,19.0
08014,12.0
08015,12.0
08017,6.0
08019,8.0
08021,5.0
08023,6.0
08025,6.0
08027,7.0
08029,9.0
08031,23.0
08033,5.0
08035,19.0
08037,8.0
08039,16.0
08041,22.0
08043,12.0
08045,9.0
08047,6.0
08049,9.0
08051,9.0
08053,6.0
08055,8.0
08057,3.0
08059,20.0
08061,7.0
08063,11.0
08065,6.0
08067,10.0
08069,20.0
08071,7.0
08073,9.0
08075,13.0
08077,11.0
08079,5.0
08081,9.0
08083,8.0
08085,10.0
08087,11.0
08089,8.0
08091,5.0
08093,9.0
08095,9.0
08097,7.0
08099,8.0
08101,14.0
08103,5.0
08105,10.0
08107,9.0
08109,11.0
08111,4.0
08113,10.0
08115,10.0
08117,10.0
08119,7.0
08121,9.0
08123,21.0
08125,12.0
10001,8.0
10003,11.0
10005,8.0
11001,12.0
12001,9.0
12003,5.0
12005,9.0
12007,6.0
12009,10.0
12011,15.0
12013,5.0
12015,6.0
12017,7.0
12019,8.0
12021,8.0
12023,5.0
12027,6.0
12029,4.0
12031,13.0
12033,12.0
12035,4.0
12037,4.0
12039,8.0
12041,4.0
12043,5.0
12045,4.0
12047,4.0
12049,5.0
12051,4.0
12053,10.0
12055,6.0
12057,13.0
12059,5.0
12061,5.0
12063,8.0
12065,4.0
12067,4.0
12069,11.0
12071,9.0
12073,7.0
12075,6.0
12077,3.0
12079,5.0
12081,10.0
12083,12.0
12085,10.0
12086,17.0
12087,5.0
12089,6.0
12091,9.0
12093,4.0
12095,18.0
12097,10.0
12099,17.0
12101,13.0
12103,10.0
12105,11.0
12107,6.0
12109,8.0
12111,9.0
12113,11.0
12115,10.0
12117,9.0
12119,5.0
12121,4.0
12123,5.0
12125,4.0
12127,11.0
12129,6.0
12131,11.0
12133,8.0
13001,7.0
13003,7.0
13005,5.0
13007,4.0
13009,7.0
13011,8.0
13013,7.0
13015,7.0
13017,6.0
13019,7.0
13021,11.0
13023,7.0
13025,6.0
13027,7.0
13029,7.0
13031,12.0
13033,7.0
13035,6.0
13037,6.0
13039,8.0
13043,5.0
13045,8.0
13047,13.0
13049,7.0
13051,10.0
13053,7.0
13055,9.0
13057,12.0
13059,8.0
13061,5.0
13063,9.0
13065,5.0
13067,11.0
13069,8.0
13071,7.0
13073,7.0
13075,7.0
13077,8.0
13079,7.0
13081,8.0
13083,9.0
13085,8.0
13087,9.0
13089,8.0
