County_ID,State,County_name,Metro_ind,Farm_ind,Policy_ind,Broadband_Avail_FCC,Broadband_Usage,TRN_BC_Number_of_Internet_Providers,DEM_2020Census_HousingUnits_Total,FED_USDA_Amount,HHS_SAIPE_Poverty_Rate,mean_plan_price,plan_count
1001,AL,Autauga County,1,0,1,0.8057,0.391,9.0,24350.0,42655443.0,0.121,50.83166666666667,6.0
1003,AL,Baldwin County,1,0,1,0.8362,0.452,13.0,124148.0,226873346.0,0.10099999999999999,56.38611111111111,18.0
1005,AL,Barbour County,0,0,1,0.6891,0.324,9.0,11618.0,10243344.0,0.271,62.49249999999999,4.0
1007,AL,Bibb County,1,0,1,0.3368,0.136,6.0,9002.0,11346947.0,0.203,41.666666666666664,3.0
1009,AL,Blount County,1,0,1,0.758,0.199,11.0,24622.0,62275588.0,0.163,52.98571428571428,7.0
1011,AL,Bullock County,0,0,1,0.9363,0.157,5.0,4516.0,4233152.0,0.3,71.95,2.0
1013,AL,Butler County,0,0,1,0.6814,0.183,9.0,9806.0,11568388.0,0.21600000000000003,54.99333333333333,3.0
1015,AL,Calhoun County,1,0,1,0.9298,0.419,10.0,53052.0,64648294.0,0.172,42.27272727272727,11.0
1017,AL,Chambers County,0,0,1,0.8453,0.501,9.0,16373.0,23049424.0,0.196,48.74250000000001,4.0
1019,AL,Cherokee County,0,0,1,0.9892,0.125,10.0,14513.0,19114846.0,0.159,65.39,5.0
1021,AL,Chilton County,1,0,1,0.6345,0.104,8.0,19438.0,26089359.0,0.16,55.998000000000005,5.0
1023,AL,Choctaw County,0,0,1,0.2147,0.035,8.0,7104.0,12644953.0,0.226,71.75,5.0
1025,AL,Clarke County,0,0,1,0.5585,0.092,9.0,11655.0,73054016.0,0.184,54.815,6.0
1027,AL,Clay County,0,0,1,0.4291,0.081,6.0,7035.0,17313831.0,0.166,69.99,2.0
1029,AL,Cleburne County,0,0,1,0.1731,0.1,6.0,6801.0,10270226.0,0.133,77.5,2.0
1031,AL,Coffee County,0,0,1,0.913,0.531,9.0,24105.0,49825054.0,0.15,69.13166666666667,6.0
1033,AL,Colbert County,1,0,1,0.8405,0.39,9.0,27666.0,12922016.0,0.146,42.989999999999995,5.0
1035,AL,Conecuh County,0,0,1,0.4422,0.067,8.0,6382.0,1130972.0,0.222,51.66,3.0
1037,AL,Coosa County,0,0,1,0.7828,0.095,10.0,5999.0,2408194.0,0.171,69.99,5.0
1039,AL,Covington County,0,0,1,0.8336,0.366,10.0,18596.0,285508885.0,0.172,69.99,6.0
1041,AL,Crenshaw County,0,0,1,0.7290000000000001,0.196,9.0,6516.0,2978604.0,0.168,70.28333333333333,6.0
1043,AL,Cullman County,0,0,1,0.7835,0.364,11.0,39145.0,105556033.0,0.122,50.907272727272726,11.0
1045,AL,Dale County,0,0,1,0.9479,0.35100000000000003,7.0,22761.0,58458961.0,0.18100000000000002,64.958,5.0
1047,AL,Dallas County,0,0,1,0.7637,0.249,8.0,18880.0,36079577.0,0.26,71.382,5.0
1049,AL,DeKalb County,0,0,1,0.9883,0.402,8.0,30584.0,81503542.0,0.182,64.64214285714286,14.0
1051,AL,Elmore County,1,0,1,0.9268,0.509,13.0,36818.0,105501010.0,0.114,44.99777777777778,9.0
1053,AL,Escambia County,0,0,1,0.7474,0.243,9.0,16684.0,18807200.0,0.205,56.65666666666666,3.0
1055,AL,Etowah County,1,0,1,0.9514,0.404,10.0,47306.0,85212131.0,0.188,49.54363636363637,11.0
1057,AL,Fayette County,0,0,1,0.1989,0.077,7.0,7760.0,6103223.0,0.17,55.0,1.0
1059,AL,Franklin County,0,0,1,0.6604,0.111,8.0,13912.0,17215016.0,0.161,58.31,6.0
1061,AL,Geneva County,1,0,1,0.5956,0.17600000000000002,9.0,12452.0,30480170.0,0.161,70.69857142857144,7.0
1063,AL,Greene County,0,0,1,0.0085,0.013,6.0,4205.0,4817835.0,0.317,62.495,2.0
1065,AL,Hale County,1,0,1,0.5144,0.095,8.0,7399.0,10780461.0,0.205,58.7475,4.0
